dining_table_0,dining_table_1,dining_table_2,dining_table_3,dining_table_4,dining_table_5
6.9832105e-09,7.689487e-10,6.001114e-07,0.0002324884,1.1270879e-07,0.99976677
0.003295261,0.9778893,0.018659094,1.5743733e-06,0.00011101096,4.375051e-05
4.3355006e-10,1.5344717e-11,1.0590565e-11,0.9999881,4.793905e-07,1.1415772e-05
0.012528503,0.8855111,0.10027181,2.0988527e-05,0.00094951014,0.0007180236
0.61616683,0.05991567,0.32307625,0.000121688325,0.0006414035,7.8151046e-05
0.00013795983,0.036072023,0.24193531,2.7628223e-05,0.007514389,0.7143127
1.9500415e-07,3.146466e-06,3.4016998e-06,0.08676329,0.00057768624,0.9126523
0.9390025,7.673882e-07,8.553257e-06,0.0609799,3.308811e-06,4.9150212e-06
1.542345e-05,0.00037676893,6.6483085e-07,0.9688532,0.030165039,0.0005889674
0.030625174,0.82184845,0.14749426,6.790483e-07,2.2707622e-05,8.683988e-06
0.9906955,0.0073518883,0.00032972105,0.0013870671,0.00018652421,4.9352824e-05
