,name,price,link
81,TMnCIamUHcd65XJ,16190,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-sejma_51690-id169588/
82,7Rgzw2qIqs5WtwT,25499,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-krovat_porto-id171560/
83,Go4bX0acnUgRGWT,17980,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-doublebed_denver-id106405/
84,He7027gwAX5HhQB,18560,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-krovat_antaliya_s_tumbami-id117823/
85,OKJTiT3wmphYf2R,8090,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-briz_51874-id170738/
86,UHvnX5GoMDm9ZQI,32290,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-marsel_45483-id143590/
87,bwoi7oh6oZeHSC5,36590,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-marsel_45484-id143595/
88,VQ76zy9fptm8BNq,37990,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-kendel_lyuks-id181090/
89,2g5LKq8QWIAGvlk,29499,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-hilton_49023-id155952/
90,w2qUp5KV5XI3n7A,36790,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-kapri_lajt-id181149/
91,RadaiAbarx13Pk0,26490,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-aleksandriya_47570-id150916/
92,D41cGSJWAvcCq4I,38590,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-viva_53689-id178632/
93,GaeqcCvRXPIEDpj,32690,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-krovati-krovat-parma-3-s-pm-id66461/
94,PRN4I1vvfpElJzB,30890,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-krovati-krovat-s-pm-parma-1-id66498/
95,QFS3tRmccyFDEz4,19990,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-dvuspalnaya_krovat_gloss-id136112/
96,dV7tj3ynRbBVxEs,13880,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-leon_47451-id150563/
97,n2DDE3QVoOcmiD0,15590,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-victoriya_krovat_1_4_1_6-id53598/
98,3OpM9e0nsQm7wEy,44090,https://pm.ru/category/mebel-dlya-doma/divany/pryamye-divany/goods-divan_oazis-id157113/
99,aZkPFjgymKwK0E4,44990,https://pm.ru/category/mebel-dlya-doma/divany/uglovye-divany/goods-divan_stinger_u-id108161/
100,lHofTJkWNYwtb2t,61990,https://pm.ru/category/mebel-dlya-doma/divany/pryamye-divany/goods-gibson-id164361/
101,93j2rXEAJhAOT7l,16990,https://pm.ru/category/mebel-dlya-doma/divany/pryamye-divany/goods-greta_divan-id178054/
102,F53rsI70L2nf1Pb,29990,https://pm.ru/category/mebel-dlya-doma/divany/uglovye-divany/goods-divan_saymon_uglovoy-id167982/
103,5yJNVMAbOyqx2yj,44990,https://pm.ru/category/mebel-dlya-doma/divany/pryamye-divany/goods-divan_vente-id165154/
